doc_id,edinet_code,sec_code,listed,industry,company_ja,company_en,period_end,filing_date,representative,board_size,male_officers,female_officers,female_ratio_filed,female_ratio_calc,officers_tagged,officers_untagged,avg_age,avg_tenure,avg_salary_yen,female_managers_ratio,gender_pay_gap_all,male_childcare_leave,pay_total_yen,named_pay_count,status,detail
S100Y7NR,E31694,,unlisted,サービス業,株式会社アクアライン,Aqualine Ltd.,2026-02-28,2026-06-01,代表取締役社長 楯 広長,0,6.0,1.0,0.14,,7.0,,42.9,6.2,4273000.0,,,,57986000.0,0,no_tagged_board,officers table is TextBlock only
S100Y7R7,E03017,8237,listed,小売業,株式会社松屋,"MATSUYA CO., LTD.",2026-02-28,2026-06-01,代表取締役社長執行役員 古 屋 毅 彦,12,10.0,2.0,0.1667,0.1667,12.0,0.0,47.5,21.9,7323000.0,,0.587,,220000000.0,0,clean,
S100Y7VX,E33553,3997,listed,情報・通信業,株式会社トレードワークス,"TRADE WORKS Co., Ltd",2025-12-31,2026-03-30,代表取締役社長 齋藤 正勝,9,8.0,1.0,0.111,0.1111,9.0,0.0,40.3,6.5,6350000.0,0.048,0.663,,124040000.0,0,clean,
S100Y7XO,E26428,6058,listed,サービス業,株式会社ベクトル,VECTOR INC.,2026-02-28,2026-05-29,代表取締役社長CEO 西江 肇司,10,9.0,1.0,0.1,0.1,10.0,0.0,35.4,3.2,6584000.0,0.293,,,423000000.0,2,clean,
S100Y7XS,E03498,3083,listed,小売業,スターシーズ株式会社,"STARSEEDS Co.,Ltd.",2026-02-28,2026-06-01,代表取締役社長 鈴木 雅順,9,8.0,1.0,0.111,0.1111,9.0,0.0,49.0,10.9,3741612.0,,,,42650000.0,0,clean,
S100Y86A,E05114,4777,listed,情報・通信業,株式会社ガーラ,GALA INCORPORATED,2025-12-31,2026-03-30,代表取締役グループCEO キム ヒョンス,17,16.0,1.0,0.0588,0.0588,17.0,0.0,45.5,11.0,6085000.0,,,,89025505000.0,0,clean,
S100Y87F,E03772,8624,listed,証券、商品先物取引業,いちよし証券株式会社,"Ichiyoshi Securities Co., Ltd.",2025-03-31,2025-06-19,取締役(兼)代表執行役社長 玉 田 弘 文,7,5.0,2.0,0.29,0.2857,7.0,0.0,44.2,15.5,7265364.0,0.192,0.771,,233000000.0,0,clean,
S100Y8EO,E03318,7611,listed,小売業,株式会社ハイデイ日高,HIDAY HIDAKA Corp.,2026-02-28,2026-05-26,代表取締役社長 青野 敬成,10,8.0,2.0,0.2,0.2,10.0,0.0,35.0,8.0,5497000.0,0.038,0.707,,147000000.0,0,clean,
S100Y8QM,E03498,3083,listed,小売業,スターシーズ株式会社(旧会社名 株式会社シーズメン),"STARSEEDS Co.,Ltd.(旧英訳名 C'sMEN Co.,Ltd.)",2025-02-28,2025-05-22,代表取締役社長 植杉 泰久,8,6.0,2.0,0.25,0.25,8.0,0.0,45.6,10.0,3741612.0,0.067,0.721,,70444000.0,0,clean,
S100Y848,E04228,9029,listed,陸運業,株式会社ヒガシホールディングス,"HIGASHI HOLDINGS CO.,LTD.",2026-03-31,2026-06-05,取締役代表執行役社長 児 島 一 裕,10,13.0,2.0,0.133,0.2,15.0,5.0,43.0,8.6,5827000.0,,,,412201000.0,0,clean,
S100Y8UO,E02155,7236,listed,輸送用機器,株式会社ティラド,"T.RAD Co., Ltd.",2026-03-31,2026-06-05,代表取締役 CEO 兼 COO 社長執行役員 宮﨑 富夫,9,8.0,1.0,0.11,0.1111,9.0,0.0,41.4,18.0,6785945.0,0.042,0.794,,229000000.0,1,clean,
S100Y90T,E01124,7741,listed,精密機器,HOYA株式会社,HOYA CORPORATION,2026-03-31,2026-06-05,取締役兼代表執行役 最高経営責任者 池田 英一郎,7,5.0,3.0,0.375,0.4286,8.0,1.0,47.6,18.7,9704451.0,0.181,0.401,,1291000000.0,3,clean,
