doc_id,sec_code,period_end,category_key,category_en,category_custom,headcount,total_yen,avg_per_head_yen,fixed_yen,base_yen,performance_yen,bonus_yen,non_monetary_yen,retirement_yen,other_components_yen,other_components,components_reconcile
S100Y7NR,,2026-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,31041000.0,6208200,31041000.0,,,,,,,,1
S100Y7NR,,2026-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100Y7NR,,2026-02-28,OutsideDirectorsMember,Outside directors,0,5.0,14510000.0,2902000,14510000.0,,,,,,,,1
S100Y7NR,,2026-02-28,OutsideCorporateAuditorsMember,Outside statutory auditors,0,4.0,12435000.0,3108750,12435000.0,,,,,,,,1
S100Y7R7,8237,2026-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,149000000.0,29800000,118000000.0,,3000000.0,,,,28000000.0,ShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y7R7,8237,2026-02-28,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,1.0,18000000.0,18000000,18000000.0,,,,,,,,1
S100Y7R7,8237,2026-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,7.0,53000000.0,7571429,53000000.0,,,,,,,,1
S100Y7VX,3997,2025-12-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,98830000.0,19766000,94800000.0,,,,4030000.0,,,,1
S100Y7VX,3997,2025-12-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100Y7VX,3997,2025-12-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,8.0,25210000.0,3151250,25210000.0,,,,,,,,1
S100Y7XO,6058,2026-02-28,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,4.0,394000000.0,98500000,,252000000.0,142000000.0,,,,,,1
S100Y7XO,6058,2026-02-28,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,1.0,3000000.0,3000000,,3000000.0,,,,,,,1
S100Y7XO,6058,2026-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,1000000.0,1000000,,1000000.0,,,,,,,1
S100Y7XO,6058,2026-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,10.0,25000000.0,2500000,,25000000.0,,,,,,,1
S100Y7XS,3083,2026-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,26450000.0,5290000,21000000.0,,,,5450000.0,,,,1
S100Y7XS,3083,2026-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,6600000.0,6600000,6600000.0,,,,,,,,1
S100Y7XS,3083,2026-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,9600000.0,1920000,9600000.0,,,,,,,,1
S100Y86A,4777,2025-12-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,71415505000.0,14283101000,,,,,,,,,
S100Y86A,4777,2025-12-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,1800000000.0,1800000000,,,,,,,,,
S100Y86A,4777,2025-12-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,3.0,15810000000.0,5270000000,,,,,,,,,
S100Y87F,8624,2025-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,3.0,154000000.0,51333333,,135000000.0,14000000.0,,1000000.0,,2000000.0,OtherRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y87F,8624,2025-03-31,OutsideDirectorsMember,Outside directors,0,5.0,79000000.0,15800000,,76000000.0,2000000.0,,,,0.0,OtherRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y8EO,7611,2026-02-28,DirectorExcludingAuditSupervisoryCommitteeMember,,1,7.0,112000000.0,16000000,77000000.0,,35000000.0,,,,,,1
S100Y8EO,7611,2026-02-28,DirectorExcludingAuditSupervisoryCommitteeOutsideDirectorMember,,1,3.0,9000000.0,3000000,9000000.0,,,,,,,,1
S100Y8EO,7611,2026-02-28,DirectorAuditSupervisoryCommitteeMember,,1,4.0,13000000.0,3250000,13000000.0,,,,,,,,1
S100Y8EO,7611,2026-02-28,DirectorAuditSupervisoryCommitteeOutsideDirectorMember,,1,4.0,13000000.0,3250000,13000000.0,,,,,,,,1
S100Y8QM,3083,2025-02-28,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,54394000.0,10878800,39850000.0,,,,14544000.0,,,,1
S100Y8QM,3083,2025-02-28,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,6450000.0,6450000,6450000.0,,,,,,,,1
S100Y8QM,3083,2025-02-28,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,4.0,9600000.0,2400000,9600000.0,,,,,,,,1
S100Y848,9029,2026-03-31,DirectorsMember,,1,12.0,230519000.0,19209917,,76623000.0,111861000.0,,,,42035000.0,RestrictedShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y848,9029,2026-03-31,OutsideDirectorsMember,Outside directors,0,7.0,26543000.0,3791857,,22140000.0,,,,,4403000.0,RestrictedShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y848,9029,2026-03-31,ExecutiveOfficersMember,Executive officers,0,6.0,155139000.0,25856500,,54219000.0,81126000.0,,,,19794000.0,RestrictedShareAwardsRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,1
S100Y8UO,7236,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,2.0,169000000.0,84500000,66000000.0,,102000000.0,,21000000.0,,,,0
S100Y8UO,7236,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,3.0,28000000.0,9333333,24000000.0,,4000000.0,,4000000.0,,,,0
S100Y8UO,7236,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,32000000.0,6400000,27000000.0,,4000000.0,,4000000.0,,,,1
S100Y90T,7741,2026-03-31,OutsideDirectorsMember,Outside directors,0,5.0,198000000.0,39600000,78000000.0,,,,,,100000000.0,RSURemunerationByCategoryOfDirectorsAndOtherOfficers|ShareOptionRemunerationEtcByCategoryOfDirectorsAndOtherOfficers,0
S100Y90T,7741,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,2.0,10000000.0,5000000,10000000.0,,,,,,,,1
S100Y90T,7741,2026-03-31,ExecutiveOfficersMember,Executive officers,0,3.0,1083000000.0,361000000,246000000.0,,,343000000.0,,,413000000.0,PSURemunerationByCategoryOfDirectorsAndOtherOfficers|RSURemunerationByCategoryOfDirectorsAndOtherOfficers,0
S100Y91J,8705,2025-03-31,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,3.0,54690000.0,18230000,,47700000.0,,1630000.0,,,,,0
S100Y91J,8705,2025-03-31,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,,,,,,,,,,,,
