doc_id,sec_code,period_end,person_key,name_en,consolidated_pay_yen,voluntary_below_100m,on_board_at_filing
S100Y7XO,6058,2026-02-28,nishie-keiji,Nishie Keiji,163000000,0,1
S100Y7XO,6058,2026-02-28,kiryu-saori,Kiryu Saori,126000000,0,1
S100Y8UO,7236,2026-03-31,miyazaki-tomio,Miyazaki Tomio,120000000,0,1
S100Y90T,7741,2026-03-31,ikeda-eiichiro,Ikeda Eiichiro,562000000,0,1
S100Y90T,7741,2026-03-31,hirooka-ryo,Hirooka Ryo,299000000,0,1
S100Y90T,7741,2026-03-31,augustine-yee,Augustine Yee,222000000,0,0
S100Y935,8061,2026-03-31,sakurai-akihiko,Sakurai Akihiko,136000000,0,1
S100Y9EI,2768,2026-03-31,fujimoto-masayoshi,Fujimoto Masayoshi,201000000,0,1
S100Y9EI,2768,2026-03-31,uemura-kosuke,Uemura Kosuke,227000000,0,1
S100Y8NY,7203,2026-03-31,toyoda-akio,Toyoda Akio,2113000000,0,1
S100Y8NY,7203,2026-03-31,sato-koji,Sato Koji,803000000,0,1
S100Y8NY,7203,2026-03-31,nakajima-hiroki,Nakajima Hiroki,476000000,0,1
S100Y8NY,7203,2026-03-31,miyazaki-yoichi,Miyazaki Yoichi,481000000,0,1
S100Y9P7,9143,2026-03-31,kuriwada-eiichi,Kuriwada Eiichi,348000000,0,1
S100Y9P7,9143,2026-03-31,matsumoto-hidekazu,Matsumoto Hidekazu,148000000,0,1
S100Y9UW,2664,2026-03-15,kawachi-shinji,Kawachi Shinji,122000000,0,1
S100Y9T1,6902,2026-03-31,arima-koji,Arima Koji,243000000,0,1
S100Y9T1,6902,2026-03-31,hayashi-shinnosuke,Hayashi Shinnosuke,310000000,0,1
S100Y9T1,6902,2026-03-31,matsui-yasushi,Matsui Yasushi,158000000,0,1
S100Y9T1,6902,2026-03-31,yamazaki-yasuhiko,Yamazaki Yasuhiko,158000000,0,1
S100YA84,8697,2026-03-31,yamaji-hiromi,Yamaji Hiromi,199000000,0,1
S100YA84,8697,2026-03-31,iwanaga-moriyuki,Iwanaga Moriyuki,156000000,0,0
S100YA84,8697,2026-03-31,yokoyama-ryusuke,Yokoyama Ryusuke,122000000,0,0
S100YA84,8697,2026-03-31,futagi-satoshi,Futagi Satoshi,121000000,0,0
S100YA84,8697,2026-03-31,konuma-yasuyuki,Konuma Yasuyuki,114000000,0,0
