# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
01101,Sapporo-shi Chuo-ku,Hokkaido,札幌市中央区
01102,Sapporo-shi Kita-ku,Hokkaido,札幌市北区
01103,Sapporo-shi Higashi-ku,Hokkaido,札幌市東区
01104,Sapporo-shi Shiroishi-ku,Hokkaido,札幌市白石区
01105,Sapporo-shi Toyohira-ku,Hokkaido,札幌市豊平区
01106,Sapporo-shi Minami-ku,Hokkaido,札幌市南区
01107,Sapporo-shi Nishi-ku,Hokkaido,札幌市西区
01108,Sapporo-shi Atsubetsu-ku,Hokkaido,札幌市厚別区
01109,Sapporo-shi Teine-ku,Hokkaido,札幌市手稲区
01110,Sapporo-shi Kiyota-ku,Hokkaido,札幌市清田区
01202,Hakodate-shi,Hokkaido,函館市
01203,Otaru-shi,Hokkaido,小樽市
01204,Asahikawa-shi,Hokkaido,旭川市
01205,Muroran-shi,Hokkaido,室蘭市
01206,Kushiro-shi,Hokkaido,釧路市
01207,Obihiro-shi,Hokkaido,帯広市
01208,Kitami-shi,Hokkaido,北見市
01209,Yubari-shi,Hokkaido,夕張市
01210,Iwamizawa-shi,Hokkaido,岩見沢市
01211,Abashiri-shi,Hokkaido,網走市
01212,Rumoi-shi,Hokkaido,留萌市
01213,Tomakomai-shi,Hokkaido,苫小牧市
01214,Wakkanai-shi,Hokkaido,稚内市
01215,Bibai-shi,Hokkaido,美唄市
01216,Ashibetsu-shi,Hokkaido,芦別市
01217,Ebetsu-shi,Hokkaido,江別市
01218,Akabira-shi,Hokkaido,赤平市
01219,Mombetsu-shi,Hokkaido,紋別市
01220,Shibetsu-shi,Hokkaido,士別市
01221,Nayoro-shi,Hokkaido,名寄市
01222,Mikasa-shi,Hokkaido,三笠市
01223,Nemuro-shi,Hokkaido,根室市
01224,Chitose-shi,Hokkaido,千歳市
01225,Takikawa-shi,Hokkaido,滝川市
01226,Sunagawa-shi,Hokkaido,砂川市
01227,Utashinai-shi,Hokkaido,歌志内市
01228,Fukagawa-shi,Hokkaido,深川市
01229,Furano-shi,Hokkaido,富良野市
01230,Noboribetsu-shi,Hokkaido,登別市
01231,Eniwa-shi,Hokkaido,恵庭市
01233,Date-shi,Hokkaido,伊達市
01234,Kitahiroshima-shi,Hokkaido,北広島市
01235,Ishikari-shi,Hokkaido,石狩市
01236,Hokuto-shi,Hokkaido,北斗市
01303,Ishikari-gun Tobetsu-cho,Hokkaido,石狩郡当別町
01304,Ishikari-gun Shinshinotsu-mura,Hokkaido,石狩郡新篠津村
