# English labels for the standard EDINET taxonomy elements,
# copied from the FSA's published element and account lists:
#   https://www.fsa.go.jp/search/20211109/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20221108/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20231211/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20241112/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20251111/  (1e, 1f, 1g)
# Rebuild with: python -m equity.taxonomy_labels --edition <YYYYMMDD>
element,label_en
jpcrp-esr_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered headquarter
jpcrp-esr_cor:AmendmentOrRejectionByShareholdersMeetingTextBlock,Amendment or rejection by shareholders meeting
jpcrp-esr_cor:BodyOfReportHeading,Body of report
jpcrp-esr_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo53ExtraordinarySecuritiesReportHeading,Disclosure of Corporate Information Form No. 5-3 Current Report
jpcrp-esr_cor:ChangeInIndependentAuditorsTextBlock,Change of independent auditors
jpcrp-esr_cor:ChangesInMajorShareholderTextBlock,Change to major shareholders
jpcrp-esr_cor:ChangesInParentCompaniesOrSpecifiedSubsidiariesTextBlock,Change to parent or specified subsidiaries
jpcrp-esr_cor:ChangesInRepresentativeDirectorsTextBlock,Change to representative directors
jpcrp-esr_cor:CommencementOrResolutionOfLitigationAgainstConsolidatedSubsidiaryTextBlock,Filing or settlement of litigation against consolidated subsidiary
jpcrp-esr_cor:CommencementOrResolutionOfLitigationTextBlock,Filing or settlement of litigation
jpcrp-esr_cor:CompanyNameCoverPage,Company name
jpcrp-esr_cor:CompanyNameInEnglishCoverPage,Company name in English
jpcrp-esr_cor:CorporateShareholderAgreementOnShareTransferEtcTextBlock,"Corporate-shareholder agreement on share transfer, etc."
jpcrp-esr_cor:CorporateShareholderGovernanceAgreementTextBlock,Corporate-shareholder governance agreement
jpcrp-esr_cor:CoverPageHeading,Cover page
jpcrp-esr_cor:DecisionOnAbsorptionTypeMergerOfConsolidatedSubsidiaryTextBlock,Determination on absorption-type merger of consolidated subsidiary
jpcrp-esr_cor:DecisionOnAbsorptionTypeMergerTextBlock,Determination on absorption-type merger
jpcrp-esr_cor:DecisionOnAbsorptionTypeSplitOfConsolidatedSubsidiaryTextBlock,Determination on absorption-type company split of consolidated subsidiary
jpcrp-esr_cor:DecisionOnAbsorptionTypeSplitTextBlock,Determination on absorption-type company split
jpcrp-esr_cor:DecisionOnAcquisitionOfSubsidiaryByConsolidatedSubsidiaryTextBlock,Determination on acquisition of subsidiary by consolidated subsidiary
jpcrp-esr_cor:DecisionOnAcquisitionOfSubsidiaryTextBlock,Determination on acquisition of subsidiary
jpcrp-esr_cor:DecisionOnConsolidationTypeMergerOfConsolidatedSubsidiaryTextBlock,Determination on consolidation-type merger of consolidated subsidiary
jpcrp-esr_cor:DecisionOnConsolidationTypeMergerTextBlock,Determination on consolidation-type merger
jpcrp-esr_cor:DecisionOnHoldingShareholdersMeetingForPurposeOfReverseStockSplitTextBlock,Determination to hold shareholders meeting for purpose of consolidation of shares
jpcrp-esr_cor:DecisionOnHoldingShareholdersMeetingToAcquireAllClassSharesSubjectToWhollyCallTextBlock,Determination to hold shareholders meeting for purpose of acquiring all shares subject to class-wide call
jpcrp-esr_cor:DecisionOnIncorporationTypeSplitOfConsolidatedSubsidiaryTextBlock,Determination on incorporation-type company split of consolidated subsidiary
jpcrp-esr_cor:DecisionOnIncorporationTypeSplitTextBlock,Determination on incorporation-type company split
jpcrp-esr_cor:DecisionOnShareExchangeOfConsolidatedSubsidiaryTextBlock,Determination on share exchange of consolidated subsidiary
jpcrp-esr_cor:DecisionOnShareExchangeTextBlock,Determination on share exchange
jpcrp-esr_cor:DecisionOnShareTransferOfConsolidatedSubsidiaryTextBlock,Determination on share transfer of consolidated subsidiary
jpcrp-esr_cor:DecisionOnShareTransferTextBlock,Determination on share transfer
jpcrp-esr_cor:DecisionOnTransferOrAcquisitionOfBusinessOfConsolidatedSubsidiaryTextBlock,Determination on sale or acquisition of business of consolidated subsidiary
jpcrp-esr_cor:DecisionOnTransferOrAcquisitionOfBusinessTextBlock,Determination on sale or acquisition of business
jpcrp-esr_cor:DocumentTitleCoverPage,Document title
jpcrp-esr_cor:EventWithSignificantEffectsOnFinancialPositionBusinessPerformanceAndCashFlowsOfGroupTextBlock,"Event with significant effects on financial position, business performance, and cash flows of group"
jpcrp-esr_cor:EventWithSignificantEffectsOnFinancialPositionBusinessPerformanceAndCashFlowsTextBlock,"Event with significant effects on financial position, operating results and cash flows"
jpcrp-esr_cor:FilingDateCoverPage,Filing date
jpcrp-esr_cor:FinancialCovenantsOfConsolidatedSubsidiariesTextBlock,Financial covenants of consolidated subsidiaries
jpcrp-esr_cor:FinancialCovenantsTextBlock,Financial covenants
jpcrp-esr_cor:IssueOfStockOptionsNotSubjectToSecuritiesRegistrationTextBlock,Issuance of shares or share acquisition rights not subject to securities registration
jpcrp-esr_cor:LikelihoodOfUncollectibleOrDelinquentAccountsOfConsolidatedSubsidiaryTextBlock,Receivables of consolidated subsidiary likely to become uncollectible or delinquent
jpcrp-esr_cor:LikelihoodOfUncollectibleOrDelinquentAccountsTextBlock,Receivables likely to become uncollectible or delinquent
jpcrp-esr_cor:ModificationOfFinancialCovenantsOfConsolidatedSubsidiariesTextBlock,Modification of financial covenants of consolidated subsidiaries
jpcrp-esr_cor:ModificationOfFinancialCovenantsTextBlock,Modification of financial covenants
jpcrp-esr_cor:NameOfContactPersonCoverPage,Name of contact person
jpcrp-esr_cor:NameOfContactPersonNearestPlaceOfContactCoverPage,Name of contact person
jpcrp-esr_cor:NearestPlaceOfContactCoverPage,Nearest place of contact
jpcrp-esr_cor:NewMattersOrChangesInPublicOfferingInformationThroughToLastDayBeforeIPOTextBlock,Addition or change to IPO-specific disclosure items that arise before IPO
jpcrp-esr_cor:NotificationOfRequestForSaleOfSharesFromSpecialControllingShareholdersOrDecisionOnWhetherToApproveRequestForSaleOfSharesOrNotTextBlock,"Receipt of notice from special controlling shareholder about demand for cash-out of shares, etc. or determination on whether to approve this demand"
jpcrp-esr_cor:PetitionEtcForCommencementOfBankruptcyProceedingsTextBlock,Petition for commencement of bankruptcy proceedings
jpcrp-esr_cor:PetitionForCommencementOfBankruptcyProceedingsAgainstConsolidatedSubsidiaryTextBlock,Petition for commencement of bankruptcy proceedings filed by or against consolidated subsidiary
jpcrp-esr_cor:PlaceForPublicInspectionCoverPageTextBlock,Place for public inspection
jpcrp-esr_cor:PlaceOfFilingCoverPage,Place of filing
jpcrp-esr_cor:PrivatePlacementOfSecuritiesTextBlock,Private placement of securities
jpcrp-esr_cor:PublicOfferingOrSecondaryDistributionOfSecuritiesOutsideJapanTextBlock,Public offering or secondary distribution of securities outside Japan
jpcrp-esr_cor:ReasonForFilingHeading,Reason for filing
jpcrp-esr_cor:ReasonForFilingTextBlock,Reason for filing
jpcrp-esr_cor:ResolutionOfShareholdersMeetingTextBlock,Resolutions by shareholders meeting
jpcrp-esr_cor:SignificantDisasterAffectingConsolidatedSubsidiaryTextBlock,Significant disaster affecting consolidated subsidiary
jpcrp-esr_cor:SignificantDisasterTextBlock,Significant disaster
jpcrp-esr_cor:TelephoneNumberCoverPage,Telephone number
jpcrp-esr_cor:TelephoneNumberNearestPlaceOfContactCoverPage,Telephone number
jpcrp-esr_cor:TitleAndNameOfRepresentativeCoverPage,Title and name of representative
jpcrp-sbr_cor:AcquisitionsByResolutionOfBoardOfDirectorsMeetingHeading,Acquisitions by resolution of board of directors' meeting
jpcrp-sbr_cor:AcquisitionsByResolutionOfBoardOfDirectorsMeetingTextBlock,Acquisitions by resolution of board of directors' meeting
jpcrp-sbr_cor:AcquisitionsByResolutionOfShareholdersMeetingHeading,Acquisitions by resolution of shareholders' meeting
jpcrp-sbr_cor:AcquisitionsByResolutionOfShareholdersMeetingTextBlock,Acquisitions by resolution of shareholders' meeting
jpcrp-sbr_cor:AcquisitionsOfTreasurySharesHeading,Acquisitions of treasury shares
jpcrp-sbr_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered headquarter
jpcrp-sbr_cor:CabinetOfficeOrdinanceOnDisclosureOfCorporateInformationEtcFormNo17ShareBuybackReportHeading,Disclosure of Corporate Information Form No. 17 Share Buyback Report
jpcrp-sbr_cor:ClassesOfSharesHeading,Classes of shares
jpcrp-sbr_cor:ClassesOfSharesTextBlock,Classes of shares
jpcrp-sbr_cor:ClauseOfStipulationCoverPage,Clause of stipulation
jpcrp-sbr_cor:CompanyNameCoverPage,Company name
jpcrp-sbr_cor:CompanyNameInEnglishCoverPage,Company name in English
jpcrp-sbr_cor:CoverPageHeading,Cover page
jpcrp-sbr_cor:DisposalsOfTreasurySharesHeading,Disposals of treasury shares
jpcrp-sbr_cor:DisposalsOfTreasurySharesTextBlock,Disposals of treasury shares
jpcrp-sbr_cor:DocumentTitleCoverPage,Document title
jpcrp-sbr_cor:FilingDateCoverPage,Filing date
jpcrp-sbr_cor:HoldingOfTreasurySharesHeading,Holding of treasury shares
jpcrp-sbr_cor:HoldingOfTreasurySharesTextBlock,Holding of treasury shares
jpcrp-sbr_cor:NameOfContactPersonCoverPage,Name of contact person
jpcrp-sbr_cor:NameOfContactPersonNearestPlaceOfContactCoverPage,Name of contact person
jpcrp-sbr_cor:NearestPlaceOfContactCoverPage,Nearest place of contact
jpcrp-sbr_cor:PlaceForPublicInspectionCoverPageTextBlock,Place for public inspection
jpcrp-sbr_cor:PlaceOfFilingCoverPage,Place of filing
jpcrp-sbr_cor:ReportingPeriodCoverPage,Reporting period
jpcrp-sbr_cor:TelephoneNumberAddressOfRegisteredHeadquarterCoverPage,Telephone number
jpcrp-sbr_cor:TelephoneNumberNearestPlaceOfContactCoverPage,Telephone number
jpcrp-sbr_cor:TitleAndNameOfRepresentativeCoverPage,Title and name of representative
jpcrp_cor:AcquisitionsByResolutionOfBoardOfDirectorsMeetingHeading,Acquisition by resolution of board of directors meeting
jpcrp_cor:AcquisitionsByResolutionOfBoardOfDirectorsMeetingTextBlock,Acquisition by resolution of board of directors meeting
jpcrp_cor:AcquisitionsByResolutionOfShareholdersMeetingHeading,Acquisition by resolution of shareholders meeting
jpcrp_cor:AcquisitionsByResolutionOfShareholdersMeetingTextBlock,Acquisition by resolution of shareholders meeting
jpcrp_cor:AcquisitionsEtcOfTreasurySharesHeading,Acquisition and disposal of treasury shares
jpcrp_cor:AcquisitionsEtcOfTreasurySharesTextBlock,Acquisition and disposal of treasury shares
jpcrp_cor:AcquisitionsNotBasedOnResolutionOfShareholdersMeetingOrBoardOfDirectorsMeetingHeading,Acquisition not based on resolution of shareholders meeting or board of directors meeting
jpcrp_cor:AcquisitionsNotBasedOnResolutionOfShareholdersMeetingOrBoardOfDirectorsMeetingTextBlock,Acquisition not based on resolution of shareholders meeting or board of directors meeting
jpcrp_cor:AdditionalSupplementaryInformationHeading,Additional supplementary information
jpcrp_cor:AdditionalSupplementaryInformationTextBlock,Additional supplementary information
jpcrp_cor:AddressMajorShareholders,Address
jpcrp_cor:AddressMajorShareholdersVotingRights,Address
jpcrp_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered head office
jpcrp_cor:AddressOfShareholderTreasurySharesEtc,Address of shareholder
jpcrp_cor:AgentFeeEtcINSNonlife,"Agent fees, etc."
jpcrp_cor:AllEmployeesCalculatedBasedOnProvisionsOfActOnPromotionOfWomensActiveEngagementInProfessionalLifeRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompany,All employees
jpcrp_cor:AllEmployeesCalculatedBasedOnProvisionsOfArticle714Item1OfOrdinanceForEnforcementOfActOnChildcareLeaveCaregiverLeaveAndOtherMeasuresForTheWelfareOfWorkersCaringForChildrenOrOtherFamilyMembersRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompany,All employees
jpcrp_cor:AllEmployeesCalculatedBasedOnProvisionsOfArticle714Item2OfOrdinanceForEnforcementOfActOnChildcareLeaveCaregiverLeaveAndOtherMeasuresForTheWelfareOfWorkersCaringForChildrenOrOtherFamilyMembersRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfReportingCompany,All employees
jpcrp_cor:AllEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfConsolidatedSubsidiaries,All employees
jpcrp_cor:AllEmployeesDifferencesInWagesBetweenMaleAndFemaleEmployeesMetricsOfReportingCompany,All employees
jpcrp_cor:AllEmployeesRatioOfMaleEmployeesTakingChildcareLeaveMetricsOfConsolidatedSubsidiaries,All employees
jpcrp_cor:AmendmentReportDocumentsSubmittedByCompanyToBeReorganizedHeading,Amendment report
jpcrp_cor:AmendmentReportDocumentsSubmittedByCompanyToBeReorganizedTextBlock,Amendment report
jpcrp_cor:AmendmentReportDocumentsSubmittedByGuaranteeCompanyHeading,Amendment report
jpcrp_cor:AmendmentReportDocumentsSubmittedByGuaranteeCompanyTextBlock,Amendment report
jpcrp_cor:AmendmentReportReferenceDocumentsHeading,Amendment report
jpcrp_cor:AmendmentReportReferenceDocumentsTextBlock,Amendment report
jpcrp_cor:AmortizationAndUnamortizedBalanceOfGoodwillForEachReportableSegmentAbstract,Amortization and unamortized balance of goodwill for each reportable segment
jpcrp_cor:AmortizationAndUnamortizedBalanceOfGoodwillForEachReportableSegmentLineItems,Amortization and unamortized balance of goodwill for each reportable segment
jpcrp_cor:AmortizationAndUnamortizedBalanceOfGoodwillForEachReportableSegmentTable,Amortization and unamortized balance of goodwill for each reportable segment
jpcrp_cor:AmortizationAndUnamortizedBalanceOfNegativeGoodwillForEachReportableSegmentAbstract,Amortization and unamortized balance of negative goodwill for each reportable segment
jpcrp_cor:AmortizationAndUnamortizedBalanceOfNegativeGoodwillForEachReportableSegmentLineItems,Amortization and unamortized balance of negative goodwill for each reportable segment
jpcrp_cor:AmortizationAndUnamortizedBalanceOfNegativeGoodwillForEachReportableSegmentTable,Amortization and unamortized balance of negative goodwill for each reportable segment
jpcrp_cor:AmountOfNetProceedsFromNewIssuanceHeading,Amount of net proceeds from new issuance
jpcrp_cor:AmountOfNetProceedsFromNewIssuanceTextBlock,Amount of net proceeds from new issuance
jpcrp_cor:AmountOfOfferingOrDistributionByThisRegistrationCoverPageTextBlock,Amount of offering or distribution by this registration
jpcrp_cor:AmountToRegisterForOfferingOrDistributionCoverPageTextBlock,Amount to register for offering or distribution
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfAssetRetirementObligationsHeading,Annexed consolidated detailed schedule of asset retirement obligations
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfAssetRetirementObligationsTextBlock,Annexed consolidated detailed schedule of asset retirement obligations
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfBorrowingsHeading,Annexed consolidated detailed schedule of borrowings
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfBorrowingsTextBlock,Annexed consolidated detailed schedule of borrowings
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfCorporateBondsHeading,Annexed consolidated detailed schedule of corporate bonds
jpcrp_cor:AnnexedConsolidatedDetailedScheduleOfCorporateBondsTextBlock,Annexed consolidated detailed schedule of corporate bonds
jpcrp_cor:AnnexedConsolidatedDetailedSchedulesHeading,Annexed consolidated detailed schedules
jpcrp_cor:AnnexedDetailedScheduleOfAssetRetirementObligationsFinancialStatementsHeading,Annexed detailed schedule of asset retirement obligations
jpcrp_cor:AnnexedDetailedScheduleOfAssetRetirementObligationsFinancialStatementsTextBlock,Annexed detailed schedule of asset retirement obligations
jpcrp_cor:AnnexedDetailedScheduleOfBorrowingsFinancialStatementsHeading,Annexed detailed schedule of borrowings
jpcrp_cor:AnnexedDetailedScheduleOfBorrowingsFinancialStatementsTextBlock,Annexed detailed schedule of borrowings
jpcrp_cor:AnnexedDetailedScheduleOfBorrowingsLongTermPayablesLeaseObligationsOtherNonCurrentLiabilitiesAndCommercialPapersELEHeading,"Annexed detailed schedule of borrowings, long-term payables, lease liabilities, other non-current liabilities and commercial papers"
jpcrp_cor:AnnexedDetailedScheduleOfBorrowingsLongTermPayablesLeaseObligationsOtherNonCurrentLiabilitiesAndCommercialPapersELETextBlock,"Annexed detailed schedule of borrowings, long-term payables, lease liabilities, other non-current liabilities and commercial papers"
jpcrp_cor:AnnexedDetailedScheduleOfBusinessCostINSHeading,Annexed detailed schedule of business costs
jpcrp_cor:AnnexedDetailedScheduleOfBusinessCostINSTextBlock,Annexed detailed schedule of business costs
jpcrp_cor:AnnexedDetailedScheduleOfCorporateBondsAndShortTermAndLongTermBorrowingsHWYHeading,Annexed detailed schedule of corporate bonds and short-term and long-term borrowings
jpcrp_cor:AnnexedDetailedScheduleOfCorporateBondsAndShortTermAndLongTermBorrowingsHWYTextBlock,Annexed detailed schedule of corporate bonds and short-term and long-term borrowings
jpcrp_cor:AnnexedDetailedScheduleOfCorporateBondsFinancialStatementsHeading,Annexed detailed schedule of corporate bonds
jpcrp_cor:AnnexedDetailedScheduleOfCorporateBondsFinancialStatementsTextBlock,Annexed detailed schedule of corporate bonds
jpcrp_cor:AnnexedDetailedScheduleOfDepreciationEtcELEHeading,"Annexed detailed schedule of depreciation, etc."
jpcrp_cor:AnnexedDetailedScheduleOfDepreciationEtcELETextBlock,"Annexed detailed schedule of depreciation, etc."
jpcrp_cor:AnnexedDetailedScheduleOfIncreaseAndDecreaseOfNonCurrentAssetsELEHeading,Annexed detailed schedule of increase and decrease in non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfIncreaseAndDecreaseOfNonCurrentAssetsELETextBlock,Annexed detailed schedule of increase and decrease in non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfIncreaseAndDecreaseOfNonCurrentAssetsPart2IntangibleAssetsELEHeading,Annexed detailed schedule of increase and decrease in non-current assets (part 2: intangible assets)
jpcrp_cor:AnnexedDetailedScheduleOfIncreaseAndDecreaseOfNonCurrentAssetsPart2IntangibleAssetsELETextBlock,Annexed detailed schedule of increase and decrease in non-current assets (part 2: intangible assets)
jpcrp_cor:AnnexedDetailedScheduleOfLongTermAndShortTermInvestmentsELEHeading,Annexed detailed schedule of long-term and short-term investments
jpcrp_cor:AnnexedDetailedScheduleOfLongTermAndShortTermInvestmentsELETextBlock,Annexed detailed schedule of long-term and short-term investments
jpcrp_cor:AnnexedDetailedScheduleOfMedicalCorporationBondsHeading,Annexed detailed schedule of medical corporation bonds
jpcrp_cor:AnnexedDetailedScheduleOfMedicalCorporationBondsTextBlock,Annexed detailed schedule of medical corporation bonds
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsELCHeading,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsELCTextBlock,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsGASHeading,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsGASTextBlock,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsHWYHeading,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfNonCurrentAssetsHWYTextBlock,Annexed detailed schedule of non-current assets
jpcrp_cor:AnnexedDetailedScheduleOfPropertyPlantAndEquipmentEtcHeading,"Annexed detailed schedule of property, plant and equipment, etc."
jpcrp_cor:AnnexedDetailedScheduleOfPropertyPlantAndEquipmentEtcTextBlock,"Annexed detailed schedule of property, plant and equipment, etc."
jpcrp_cor:AnnexedDetailedScheduleOfProvisionsHeading,Annexed detailed schedule of provisions
jpcrp_cor:AnnexedDetailedScheduleOfProvisionsTextBlock,Annexed detailed schedule of provisions
jpcrp_cor:AnnexedDetailedScheduleOfSchoolBondsHeading,Annexed detailed schedule of school bonds
jpcrp_cor:AnnexedDetailedScheduleOfSchoolBondsTextBlock,Annexed detailed schedule of school bonds
jpcrp_cor:AnnexedDetailedScheduleOfSecuritiesHeading,Annexed detailed schedule of securities
jpcrp_cor:AnnexedDetailedScheduleOfSecuritiesInTrustCNAHeading,Annexed detailed schedule of securities in trust
jpcrp_cor:AnnexedDetailedScheduleOfSecuritiesInTrustCNATextBlock,Annexed detailed schedule of securities in trust
jpcrp_cor:AnnexedDetailedScheduleOfSecuritiesTextBlock,Annexed detailed schedule of securities
jpcrp_cor:AnnexedDetailedScheduleOfWaterTransportationRevenuesAndExpensesHeading,Annexed detailed schedule of water transportation revenues and expenses
jpcrp_cor:AnnexedDetailedScheduleOfWaterTransportationRevenuesAndExpensesTextBlock,Annexed detailed schedule of water transportation revenues and expenses
jpcrp_cor:AnnexedDetailedSchedulesHeading,Annexed detailed schedules
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsDocumentsSubmittedByCompanyToBeReorganizedHeading,Annual securities report and attached documents
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsDocumentsSubmittedByCompanyToBeReorganizedTextBlock,Annual securities report and attached documents
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsDocumentsSubmittedByGuaranteeCompanyHeading,Annual securities report and attached documents
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsDocumentsSubmittedByGuaranteeCompanyTextBlock,Annual securities report and attached documents
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsOrSemiAnnualSecuritiesReportDocumentsFiledByGuarantorHeading,"Annual securities report and attached documents, or semi-annual securities report"
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsOrSemiAnnualSecuritiesReportDocumentsFiledByGuarantorTextBlock,"Annual securities report and attached documents, or semi-annual securities report"
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsQuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByGuaranteeCompanyHeading,"Annual securities report and attached documents, quarterly securities report, or semi-annual securities report"
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsQuarterlySecuritiesReportOrSemiAnnualSecuritiesReportDocumentsSubmittedByGuaranteeCompanyTextBlock,"Annual securities report and attached documents, quarterly securities report, or semi-annual securities report"
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsReferenceDocumentsHeading,Annual securities report and attached documents
jpcrp_cor:AnnualSecuritiesReportAndAttachedDocumentsReferenceDocumentsTextBlock,Annual securities report and attached documents
jpcrp_cor:AppointmentOfBondAdministratorHeading,Appointment of bond administrator
jpcrp_cor:AppointmentOfBondAdministratorTextBlock,Appointment of bond administrator
jpcrp_cor:AssetsForLeaseLEAHeading,Assets for lease
jpcrp_cor:AttachedInformationHeading,Attached information
jpcrp_cor:AttachedInformationTextBlock,Attached information
jpcrp_cor:AuditFeesConsolidatedSubsidiaries,Audit fees - Consolidated subsidiaries
jpcrp_cor:AuditFeesConsolidatedSubsidiariesNetworkFirms,Audit fees - Consolidated subsidiaries
jpcrp_cor:AuditFeesReportingCompany,Audit fees - Reporting company
jpcrp_cor:AuditFeesReportingCompanyNetworkFirms,Audit fees - Reporting company
jpcrp_cor:AuditFeesTotal,Audit fees - Total
jpcrp_cor:AuditFeesTotalNetworkFirms,Audit fees - Total
jpcrp_cor:AuditFirm1Consolidated,Audit firm 1
jpcrp_cor:AuditFirm1ConsolidatedPriorYear,Audit firm 1
jpcrp_cor:AuditFirm1NonConsolidated,Audit firm 1
jpcrp_cor:AuditFirm1NonConsolidatedPriorYear,Audit firm 1
jpcrp_cor:AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearConsolidated,Audit firm 1
jpcrp_cor:AuditFirm1QuarterlyOrSemiAnnualPeriodOfNextFiscalYearNonConsolidated,Audit firm 1
